143,Kinda feel bad fuckin NA NA up NAght Sandys done NA,38.36546883,-75.15094791,31,0,41
144,mNANAeNAxx NA van de NAirie is NA NA NA NA NA van NA van NA en NA NA de NA NA,53.3625752,5.215142,30,22,59
145, lmao  RTCorinna26 I NAlly hope a NA of tNAe NA bNA away pNAandNAnkssandy,41.11853196,-73.42752493,30,3,19
146,So much for Hurricane Sandy hitNA Ns EffYouSandy Biotch,45.94418039,-60.61391497,30,19,32
147,I know Jersey Shore is oNA but NAg I wNAed to viNA the NA one day its NAtroyed And the shore house is gone Sad Sandy,39.75930154,-94.78262544,31,0,32
148,Lots of people NAing aNA being NA today  I think sandy is NAeNA the NAard of tweets,47.68804706,-122.3908442,2,6,25
149,Just NA this NAcious NA beer with the NAe NAs at Union Brewhouse in Weymoth Sandy be NAned httptcovUdBVy4P,42.205757,-70.953971,29,20,49
150,Dame mas NA afNANA sandy dNAyyankee newNAy,40.9257435,-74.1968621,4,2,23
151,Sandy pNA dont be so NA,45.5251971,9.0342345,29,22,19
152,Starbucks the NAce to be post HurricaneSandy icedNAlNAesoy httptco63udO1vn,40.93038128,-74.27085642,3,20,5
153,WNAs are NA oNA the Ocean View pier Not all of them but NAe No beach NA Tide up to NAs WavySandy,36.96024884,-76.26057208,29,15,28
154,La a NYC ya NAton Sandy CureQuivron,40.71806122,-73.96044281,29,2,33
155,In Public HouNAg AfNA Hurricane Sandy Fear Misery and Heroism httptcoIA8vDZFs  The New York TiNA NAiNA,34.3900056,-119.4989047,3,11,19
156,Hey NAd when NAl l get power reNA me Sandy,41.12105984,-73.70692747,3,4,36
157,I hNA a NAn NA NA to move to NA afNA sandy,40.4312677,-74.18877457,31,1,44
158,Lg NA NA sm NA Cakra Khan Suaranya NA Sandy Sandoro  sNAk sNAeh   httptcoqN2j8B18,-6.9333987,107.6265192,31,12,48
159,All I gotta say to NAricane sandy is YOU AINT SCARED OF ME,34.24005632,-77.87758253,28,16,20
160,ENAyone take notice how grNA of a NA GovChrNAie  did NAing with this NAricane And how NA NA ONAa for sandy,39.95317661,-74.15796065,3,18,14
161,Superstorm Sandy xuo,38.17927032,-105.5934565,30,23,15
162,Waking up to the NA being out Sandys a big NAch,41.87742328,-71.34363007,30,13,15
163,"snNAi JENNIWOWW MTVsammi MTVRonnie VINNYGUADAGNINO ItsTheSNAation DNAaNicoleMTV DJPaulyD 
sNAtNAhorehouse
sNAyousandy",41.1792934,-73.18975453,29,19,56
164,RT NNAClarke Is Pat Robertson going to say NAt Hurricane Sandy is NA for The Jersey Shore,35.49284722,-85.04826389,29,16,50
165,THE crane NAtty NA in NA sandy afNANA NYC crane midtNA   MidtNA ManhNAan httptcoOu1QOp8Q,40.76203225,-73.98515224,1,20,41
166,KrNAenCrNA yea we NAsed the NA Sandy,28.38121532,-81.52311216,31,13,54
167,DianeSawyer Thinking of NAryone in the NAh of Sandy be safe NA MNASmithNow,41.55865,-93.64671,29,0,33
168,Yo sandy NA let you NAishbut katrina was the bNAest NAch of all time,39.99791959,-105.2523619,31,6,2
169,Fox News FocNA On Benghazi AtNAk While Largely IgnoNA Hurricane Sandy via HuffPost httpNAILxsp5Q,29.62523725,-82.37390505,2,1,35
170,ENAybody keep safNAndy,40.57960019,-74.66682175,29,0,14
171,With NA to Barry ManiNAWNA you came and you NAtroyed us baby And Im NA youre away Oh Sandy httptcoI3ugq3BM,40.74684022,-73.95842347,31,17,8
172,NA be safe trNAling away from sandy,35.23070911,-80.84504412,29,5,48
173,Who the fuck naNA NAricanes NA NAricanNAndy Id call it NAricane ultimNA NA or NAricanebane,52.22789779,-0.27208881,29,17,30
174,AB NAl NA 1 million NA of wNAr for Hurricane Sandy reNAf by the end of the week,38.59904814,-90.20939841,31,20,42
175,Omg Should I be cNAing massNA NA of food or soNAhing sandy has my timeNA full of food NA and NAts of power NA,40.650622,-73.967474,29,22,50
176,ConEdison ConEdison NAtoNA oNA 65NA NA on the Lower East Side and East Village aNAs of ManhNAan Sandy NA FYI,40.88742089,-73.90560421,2,21,7
177,By NA if you left to walk your dog  sandy NAl not NA re NA  10 HanoNA Square Luxury ANAtmNAs httptcoegqmrbMa,40.70441479,-74.00912862,29,17,0
178,TELETON PARA APOYAR A LOS DAMNIFICADOS DEL HURACAN SANDY  VALLAN A DONAR A LA RED CROSS,32.60860205,-117.0774686,3,3,9
179,mashNA Read This TouNAng ENA LouisCK SNA to His Fans httptco7VjS6lRQ Sandy SNL ,42.68385012,-83.2320898,5,14,43
180,PrNArs go out to Sandy victims Seeing  the NAage NAlly NAs into perspectNA how good we hNA it here QNA NANAng aNA rain NAs,47.57315727,-117.66237,2,5,5
181,Hurricane Sandy is making me wNA to NAch GNAse,41.04883,-73.70065,29,17,40
182,Sandy bgz,39.23431743,-122.4992188,31,9,21
183,KarenBritChick Whos NA onNA duNA NAricane sandy ,39.66042633,-75.63450297,29,18,34
184,EEUU NA NA NA en reNANAr el suNANAro de comNAible NA Sandy httptcoZV20UxEN NA,40.40702116,-3.66580712,2,20,48
185,Side Im on NAs side LOTR Sandy tweetinNAkecrazy NA,42.43038527,-71.07233702,29,18,0
186,At my NAs NAb because I still dont hNA power NAsandy,40.77753925,-73.81465327,4,1,3
187,Im NAlly open aNA the fNA NAt theNA no NA NA Good LNAs Sandy lol,41.110007,-73.797034,29,0,2
188,Tryna NA out how I can get NAe free food NA NA this Sandy NApch,40.648196,-73.8948893,30,23,17
189,When NAricane Sandy hits the UK it might hNA the power 2 NA oNA my NA,56.03279609,-3.91599225,31,7,34
190,US NA office NA a NAk NA NAt Hurricane Sandy has bNA upNAded to a British Summer,53.70024973,-1.78228628,30,17,58
191,So appNAly victims from NAricane Sandy are in need of NA and are now NAing NA from NA so NANA the RedCross to help out,29.6315363,-95.2334585,2,21,20
192,I blame NAricane sandy on Jay Z if he nNAr   moved the Nets to BrNAlyn NAe of this shit NA NAed,41.74148665,-87.72162127,2,21,33
193,Hurricane Sandy is NAt NA SnNAie NAg NArything on the east coast,52.4075396,-1.5054338,30,11,38
194,Office NAd NANAow ExNANA Finally Im home for an SVU maraNAn sandy pNApowerdontgoout,40.84197805,-73.34247648,29,22,7
